title,isPartOf,pageCount,publicationYear,docSubType
Satisfaction with the Division of Household Tasks in Switzerland: A Longitudinal Approach,"Population (English Edition, 2002-)",23,2013,research-article
COMPARATIVE SOCIO-HISTORICAL THEORY OF EDUCATION,Hitotsubashi Journal of Social Studies,20,1991,research-article
THE FOUNDING FATHERS,Negro History Bulletin,7,1945,research-article
Adding an Intergenerational Dimension to Conceptions of Peace,Journal of Peace Research,11,1976,research-article
THE IMPORTANCE OF CULTURE FOR CANNABIS MARKETS: Towards an Economic Sociology of Illegal Drug Markets,The British Journal of Criminology,19,2012,research-article
Reflecting on the Eight-Year Study,Journal of Thought,9,1986,research-article
"""Some of Us Got Heard More Than Others"": Studying Brown Through Oral History and Critical Race Theory",Counterpoints,14,2014,research-article
INDEPENDENCE AND THE FAMILY IN DIFFICULTIES,Social Work (1939-1970),3,1954,research-article
One or Two California Items,Mark Twain Quarterly,2,1940,research-article
Perspectives: The OCD,Educational Researcher,2,1971,research-article
Social desire paths: a new theoretical concept to increase the usability of social science research in society,Theory and Society,19,2014,research-article
MALIGAYA: A NEW CHURCH COMMUNE IN THE PHILIPPINES,Ekistics,4,1967,research-article
THE UPLIFTMENT OF DEPRESSED CLASSES UNDER K. KAMARAJ MINISTRY (1954-1963),Proceedings of the Indian History Congress,7,2007,research-article
Theravada Buddhism: A Vehicle for Technical Change,Human Organization,5,1964,research-article
THE LAW AND BEHAVIORAL SCIENCE PROGRAM AT YALE: A SOCIOLOGIST'S ACCOUNT OF SOME EXPERIENCES,Journal of Legal Education,8,1959,research-article
EDUCATIONAL PLANNING AT YALE,Journal of Legal Education,6,1968,research-article
RESEARCH CONCERNING THE RACIAL ATTITUDES OF YOUNG CHILDREN,The Journal of Nursery Education,6,1958,research-article
Islamism and the Paradox of Secularization: The Case of Islamist Ideas on Women in the Sudan,Sociologus,30,2005,research-article
Why Museums Need to Continue the Discussion About Race in America,History News,5,2000,research-article
Without Consent or Contract: The Rise and Fall of American Slavery: An Essay Review,Louisiana History: The Journal of the Louisiana Historical Association,6,1991,book-review
A Persisting Clique of Chronic Mental Patients,Human Organization,4,1961,research-article
West African Urbanization as a Social Process,Cahiers d'Études Africaines,13,1960,research-article
Review Article,"Labour, Capital and Society / Travail, capital et société",5,1995,book-review
GENDER AND IDENTIFICATION IN PATRILINEAL AND PATRIARCHAL SOCIETIES: Case studies from southern Ethiopia,Paideuma: Mitteilungen zur Kulturkunde,16,2014,research-article
[Association Information],Young Children,14,1991,misc
Review Article,Applied Anthropology,2,1944,book-review
MINUTES OF THE TWENTY-FIFTH ANNUAL MEETING,Proceedings of the Pennsylvania Academy of Science,7,1949,misc
Brighton History Workshop,History Workshop,3,1984,research-article
The Pressure to Conform: A Study of Foster Grandparents at a State Institution,Human Organization,5,1983,research-article
PUBLIC SCHOOLS OF PORTO RICO,The Journal of Education,1,1903,misc
Book Notes,Urban Studies,3,1983,misc
"Resolutions Passed at NAEYC Conference in Chicago, Illinois",Young Children,4,1978,misc
Modernization and Kin Network in a Developing Society: India,Sociologus,19,1973,research-article
"Curing the Insane in New Orleans: The Failure of the ""Temporary Insane Asylum,"" 1852-1882",Louisiana History: The Journal of the Louisiana Historical Association,30,2005,research-article
"DIFFICULTY, DEPENDENCE, AND HOUSING ACCESSIBILITY FOR PEOPLE AGING WITH A DISABILITY",Journal of Architectural and Planning Research,9,2001,research-article
MANCIPIVM RVSTICVM SIVE VRBANVM: THE SLAVE CHAPTER OF DIOCLETIAN'S EDICT ON MAXIMUM PRICES,Bulletin of the Institute of Classical Studies. Supplement,20,2010,research-article
"Governor Anda and the Liquidation of the Jesuit Temporalities in the Philippines, 1770-1776",Philippine Studies,27,1975,research-article
Affiliated Groups,Young Children,2,1966,research-article
THE PLACE OF DEMOCRACY IN EDUCATION,Pi Lambda Theta Journal,4,1949,research-article
The future of health services for children,Ekistics,2,1978,research-article
"Global Householding, Gender, and Filipino Migration: A Preliminary Review",Philippine Studies,32,2007,research-article
Colonialism and Agriculture in The First Half of The Nineteenth Century : A Case of Broach District of Gujarat,Proceedings of the Indian History Congress,8,1987,research-article
Law and Society Studies and Legal Education,Journal of Legal Education,5,2005,research-article
"It's Education For, Not About, Democracy",Educational Horizons,8,1995,research-article
"""To donors, it's a program, but to us it's a ministry"": the effects of donor funding on a community-based Catholic HIV/AIDS initiative in Kampala",Canadian Journal of African Studies / Revue Canadienne des Études Africaines,21,2013,research-article
"Agriculture, Patriarchy and Capitalism",Economic and Political Weekly,2,2000,book-review
Public and Private Relief in Russia,Charity Organisation Review,8,1913,research-article
Reading the Landscape of Values in Evaluation,Counterpoints,19,2002,research-article
restructuring parent-teacher organizations to increase parental influence on the educational process,Elementary School Guidance & Counseling,8,1993,research-article
Rural Social Transformation and Changes in Health Behaviour,Economic and Political Weekly,7,1989,research-article
"CHAPTER NINE: February 1, 1970: The Aftermath of Legal Desegregation, 1970-1974",Counterpoints,17,2001,research-article
WHAT IS THIS ADULT EDUCATION?,Pi Lambda Theta Journal,2,1951,research-article
"An Historical and Contemporary Demography of Akutan, an Aleutian Village",Études/Inuit/Studies,28,1982,research-article
LANDED ARISTOCRACY AND EDUCATION IN BIHAR TILL 1937,Proceedings of the Indian History Congress,9,1997,research-article
Household Exchange Networks in Post-Socialist Slovakia,Human Organization,9,2007,research-article
"Village, Caste, and the Welfare State",Human Organization,7,1963,research-article
New Orleans's Congo Square: An Urban Setting for Early Afro-American Culture Formation,Louisiana History: The Journal of the Louisiana Historical Association,41,1991,research-article
WOMEN'S HISTORY AND THE HISTORY OF WOMEN TEACHERS,The Journal of Education,22,1989,research-article
HIGH SCHOOL EXTENSION IN AGRICULTURE,The Journal of Education,3,1914,research-article
The Social Construction of Housing Management Research,Urban Studies,14,1997,research-article
Who Are the Gujars?,Economic and Political Weekly,2,1972,research-article
The Impact of Educational Homogamy on Isolated Illiteracy Levels,Demography,17,2013,research-article
Some Random Notes on Catholics of the American Revolution,Records of the American Catholic Historical Society of Philadelphia,3,1949,research-article
"An Ethnographic and Ecological Survey of Luristan, Western Persia: Modernization in a Nomadic Pastoral Society",Middle Eastern Studies,19,1974,research-article
Project PARENTING: An Educational Program for Adolescent Mothers and Their Children,Elementary School Guidance & Counseling,5,1988,research-article
"Late-Life Immigration, Changes in Living Arrangements, and Headship Status among Older Mexican-Origin Individuals",Social Science Quarterly,15,2000,research-article
[Editorials],The Journal of Education,3,1914,research-article
Review Article,Journal of Peace Research,2,1999,book-review
Some Social Implications of the Mechanization of Southern Agriculture,The Southwestern Social Science Quarterly,9,1950,research-article
Approaches to the Study of Ethnicity,Cahiers d'Études Africaines,16,1970,research-article
Review Article,Sociology,3,2007,book-review
Review Article,Canadian Journal of African Studies / Revue Canadienne des Études Africaines,3,2012,book-review
Review Article,Urban Studies,3,2008,book-review
Review Article,Urban Studies,3,1995,book-review
An Experiment In Innovation Among Sugar Cane Cutters In Puerto Rico,Human Organization,8,1967,research-article
CATHOLIC YOUTH IN THE POST-WAR WORLD,Blackfriars,7,1941,research-article
Review Article,Social History,4,1988,book-review
Review Article,Sociological Practice,3,2006,book-review
Protecting and Meeting Rights of Children during Conflict? Reflections on the Activities of Three Indigenous Social Work Agencies in Northern Uganda,The British Journal of Social Work,21,2012,research-article
A Conceptual Model of Social Impact as Active Citizenship,Voluntas: International Journal of Voluntary and Nonprofit Organizations,21,2015,research-article
Review Article,Sociological Bulletin,4,1963,book-review
Dilemma for the Mass Media in Developing Countries: To Reach a Few or None at All,Turkish Studies Association Bulletin,7,1980,research-article
THE PLACE OF FEAR IN HANDLING CRIME AND DELINQUENCY,The Journal of Education,2,1942,research-article
'Fourth Battle of Panipat': Total Literacy Campaign in Haryana,Economic and Political Weekly,4,1993,research-article
[Editorials],The Journal of Education,3,1908,research-article
"Cattle, Dearth, and the Colonial State: Famines and Livestock in Colonial India, 1896-1900",Journal of Social History,24,2013,research-article
The Relief of Widows,Charity Organisation Review,30,1906,research-article
"Sustaining the Bonds of Kinship in a Trans-Appalachian Migration, 1790-1811: The Cabell-Breckinridge Slaves Move West",The Virginia Magazine of History and Biography,22,1994,research-article
Economic and Social Integration Among Urban Peasants,Human Organization,4,1978,research-article
"Unofficial Sister Cities: Meatpacking Labor Migration Between Villachuato, Mexico, and Marshalltown, Iowa",Human Organization,13,2002,research-article
Not out of Bondage,Economic and Political Weekly,2,1977,research-article
RELIGIOUS RESPONSES TO THE POPULATION SUSTAINABILITY PROBLEMATIC: IMPLICATIONS FOR LAW,Environmental Law,17,1997,research-article
'Rules of the Game' in Ephemeral Institutions: U. S. State Constitutional Conventions,Legislative Studies Quarterly,8,1981,research-article
Demographic Transition among Parsis: 1881-1971: II: Level and Trends in Mortality,Economic and Political Weekly,3,1974,research-article
EDUCATION IN ACTION,The Journal of Education,3,1928,research-article
Front Matter,Socialist Lawyer,6,1993,misc
PLANNING VILLAGES—4: regional strategy,Official Architecture and Planning,2,1967,research-article
A Tale of Arson,Economic and Political Weekly,3,1987,research-article
Review Article,Bulletin of the Deccan College Research Institute,9,1965,book-review
Appropriating Images from Village Life,Economic and Political Weekly,4,2003,research-article
AGING IN JAPAN: POPULATION POLICY IMPLICATIONS,Korea Journal of Population and Development,18,1995,research-article
"Operationalizing Social Capital: A Strategy to Enhance Communities' ""Capacity to Concert""",International Studies Perspectives,16,2002,research-article
Is the Modernity-Tradition Model All Bad?,Economic and Political Weekly,4,1970,research-article
Identity of Boston's Fenway neighborhood,Ekistics,5,1977,research-article
Internal media conceptual metaphors and minority cultural identities,Ethnicities,19,2013,research-article
Review Article,Contemporary Sociology,2,2016,book-review
Reaffirming a National Commitment to Children,Young Children,3,1995,research-article
Principles for Future Policy: The Tracking and Ability Grouping Debate,Educational Horizons,3,1999,research-article
The Tribulations of Fieldwork,Economic and Political Weekly,6,1972,research-article
"Community Colleges and the ""Promise"" of Public Sociology: A College President's Perspective",The American Sociologist,8,2013,research-article
"Town Women and Country Wives: Migrant Labour, Family Politics and Housing Preferences at Vaal Reefs Mine","Labour, Capital and Society / Travail, capital et société",17,1992,research-article
"Critical Commentary: Social Work, Child Protection and Politics: Some Critical and Constructive Reflections",The British Journal of Social Work,15,2014,research-article
Review Article,"Bijdragen tot de Taal-, Land- en Volkenkunde",3,2009,book-review
Residential Integration: The Case of Hyde Park in Chicago,Human Organization,6,1959,research-article
HIGH LIGHTS: Valuable Information for State and Local Music Teachers' Associations,Bulletin of the Music Teachers National Association,2,1938,misc
Review Article,"Notas: Reseñas iberoamericanas. Literatura, sociedad, historia",4,1997,book-review
[Editorials],The Journal of Education,3,1906,research-article
Working Women and the Dynamics of Maintaining and Heading Households,Estudos Feministas,19,1998,research-article
Tennessee Nuclear Family Fission: Why Oak Ridge Divorced during and after World War II,Tennessee Historical Quarterly,14,2014,research-article
"The Growth of Towns after the Civil War and the Casualization of Black Labor, 1865-1880",Tennessee Historical Quarterly,12,2013,research-article
EDUCATION FOR NOMADS,Nomadic Peoples,8,1983,research-article
Implications of the democratization of work,Ekistics,4,1976,research-article
Awards Committee Report—1975,Journal of ASFMRA,3,1976,misc
Chapter 22: The Moral and Ethical Implications of Educational Standards: Commentary and Questions,Counterpoints,11,2001,research-article
"A Comparative Study of Marital Dissolution in East Asian Societies: Gender Attitudes and Social Expectations towards Marriage in Taiwan, Korea and Japan",Asian Journal of Social Science,25,2011,research-article
ON THE PERSONAL AND STATE SIDE,Bulletin of the National Association for Nursery Education,15,1952,research-article
Reports of State and Regional Farm Management and Rural Appraisal Organizations,Journal of ASFMRA,4,1949,research-article
Cohabitating Partners and Domestic Labor in Low-Income Black Families,Journal of African American Studies,15,2014,research-article
Toward an Assessment of the Social Role of Rural Midwives and Its Implication for the Family Planning Program: An Iranian Case Study,Human Organization,6,1978,research-article
Schooling for Profit Capitalism's New Frontier,Educational Horizons,8,1992,research-article
Health Psychology from Interviews in a Transkeian Village,Sociologus,4,1990,research-article
Review Article,Social History,4,1978,book-review
Ethnography in Evaluation: Uncovering Hidden Costs and Benefits in Child Mental Health,Human Organization,12,2007,research-article
"Migration, Transnationalism, and the Spaces of Class Identity",Philippine Studies: Historical & Ethnographic Viewpoints,33,2012,research-article
THE SOCIOLOGY OF LAW,Journal of Legal Education,11,1960,research-article
ON THE VILLAGE COMMUNITY IN SOUTH INDIA-MUNRO TO MARX,Proceedings of the Indian History Congress,7,1977,research-article
"The ""Missing Girls"" From China: Reforms Are Too Little, Too Late",Harvard International Review,4,2014,research-article
"Church and Family V: Feminism, Church and Family in the 1980s",New Blackfriars,11,1984,research-article
6. Who You Think I Am Is Not Necessarily Who I Think I Am: The Multiple Positionalities of Urban Student Identities,Counterpoints,11,2007,research-article
Propensity Score Matching of Children in Kinship and Nonkinship Foster Care: Do Permanency Outcomes Still Differ?,Social Work Research,12,2008,research-article
HOUSING OCCUPANCY STANDARDS: INSCRIBING ETHNICITY AND FAMILY RELATIONS ON THE LAND,Journal of Architectural and Planning Research,19,2002,research-article
"THE CINDERELLA OF THE PROFESSIONS? SOME REFLECTIONS ON SOCIAL WORK AND TRAINING IN THE UNITED STATES, 1947",Social Work (1939-1970),6,1948,research-article
A Week in a C.O.S. Office,Charity Organisation Review,6,1919,research-article
The Aged in Louisiana's Farm Population,The Southwestern Social Science Quarterly,9,1956,research-article
"NEIGHBOURHOODS, OPPORTUNITY STRUCTURES AND OCCUPATIONAL ASPIRATIONS",Sociology,15,1996,research-article
The Professional Development Challenge: Supporting Young Children and Families,Young Children,5,1995,research-article
Secondary Students and the Deliberation of Public Issues,PS: Political Science and Politics,6,2014,research-article
ON DOING LOCAL HISTORY: Working in Tandem for Community History,History News,2,1997,research-article
DENVER'S USE OF PROBLEMS COURSE,The Journal of Education,2,1949,research-article
'Thiyya Andolan' in Krishna Valley,Economic and Political Weekly,3,2004,research-article
"'Our Good Work' or 'the Devil's Work'? Inequality, Exchange, and Card Playing among the Gende",Oceania,17,2014,research-article
[Association Information],Young Children,16,1994,misc
"THE SYSTEM OF COLONIAL GARDENS AND THE EXPLOITATION OF FRENCH ALGERIA, 1830-1852",Proceedings of the Meeting of the French Colonial Historical Society,9,1985,research-article
SUPPLEMENT to the Charity Organisation Review: NOTICES AND ADVERTISEMENTS,Charity Organisation Review,2,1906,misc
WOMEN'S EMPOWERMENT AND FERTILITY CHANGES,International Journal of Sociology of the Family,27,2013,research-article
Labor Force Participation and Health: A Cohort Comparison of Older Male Workers,Social Science Quarterly,19,1989,research-article
Rethinking Public and Private Life via the Surrogacy Contract,Politics and the Life Sciences,12,1990,research-article
SEX RATIO AT BIRTH AND SON PREFERENCE IN CHINA,Asia Journal,22,1995,research-article
THE DANIEL FAMILY OF VIRGINIA,Negro History Bulletin,8,1947,research-article
History of the American Society of Farm Managers and Rural Appraisers,Journal of ASFMRA,36,1979,research-article
THE INDIGO INDUSTRY OF BIHAR AND THE OPPRESSION OF [RYOTS (1833-1858),Proceedings of the Indian History Congress,6,1981,research-article
Attachment of American Jews to Israel: Perspectives from Local Jewish Community Studies,Contemporary Jewry,39,2012,research-article
Review Article,The Journal of Korean Studies (1979-),4,1990,book-review
A Deeper Look at Poverty: Challenges for Evangelical Development Workers,Transformation,16,2009,research-article
Can Young Children Have a Quality Life in Day Care?,Young Children,12,1973,research-article
Appomattox: Profile of a Mid-Nineteenth-Century Community,The Virginia Magazine of History and Biography,14,1980,research-article
TEACHER RECRUITMENT,Negro History Bulletin,3,1963,research-article
An approach to neighborhood security: Turf reclamation,Ekistics,2,1975,research-article
THE CRUCIAL HOUR IN AMERICAN EDUCATION,The Journal of Education,2,1920,research-article
The Bonded of Palamau,Economic and Political Weekly,4,1976,research-article
Social Cooperation and Resource Management Dynamics Among Late Hunter-Fisher-Gatherer Societies in Tierra del Fuego (South America),Journal of Archaeological Method and Theory,21,2014,research-article
SUMMARY of No. 24 (3/1973),Quaderni storici,4,1973,misc
Review Article,Brigham Young University Studies,5,2002,book-review
Review Article,Urban Studies,3,2011,book-review
FORWARD TO 1903,Social Work (1939-1970),7,1953,research-article
"Preschool Prototype: An Integrated, Semi-Cooperative Nursery School",Young Children,7,1966,research-article
IMPERIALISM OF OPIUM: ITS UGLY FACE IN ASSAM (1773-1921),Proceedings of the Indian History Congress,9,1976,research-article
How persons become things: economic and epistemological changes among Nayaka hunter-gatherers,The Journal of the Royal Anthropological Institute,19,2014,research-article
CRIPPLED AND INVALID CHILDREN,Charity Organisation Review,4,1915,book-review
Development and Rehabilitation: A Comparative Study of Dam Oustees in Two Tribal Villages of Orissa,Sociologus,15,1991,research-article
"Learning from the Past, Building for the Future",The Journal of Museum Education,10,2013,research-article
REPORTS FROM THE EDUCATIONAL FIELD,The Journal of Education,2,1923,research-article
LOCAL PARTICIPATION IN GUIDING EXTENSION PROGRAMS: A PRACTICAL PROPOSAL,Nomadic Peoples,19,1985,research-article
In Sickness and in Health? Physical Illness as a Risk Factor for Marital Dissolution in Later Life,Journal of Health and Social Behavior,15,2015,research-article
"BEDOUIN HOUSEHOLDS AND SHEEP PRODUCTION IN THE NEGEV DESERT, ISRAEL",Nomadic Peoples,23,2000,research-article
PRINCIPLES OF CASEWORK WITH SPECIAL REFERENCE TO DIFFERENT TYPES OF SOCIAL WORK,Social Work (1939-1970),8,1947,research-article
Policy Theories of School Choice,Social Science Quarterly,10,1998,research-article
A Long Road Ahead: Leveraging Culture in Haiti's Reconstruction: AN INTERVIEW WITH MICHÈLE PIERRE-LOUIS,Harvard International Review,2,2010,research-article
Society's Children: A Sociological Study of Destitute Children in Maharashtra,Economic and Political Weekly,12,1988,research-article
TUG OF WAR: CARING FOR OUR ELDERS WHILE REMAINING PRODUCTIVE AT WORK,Academy of Management Perspectives,15,2013,research-article
Haldane Forth: What Next?,Socialist Lawyer,3,1990,research-article
WOMEN IN EARLY INDIA : PROBLEMS AND PERSPECTIVES,Proceedings of the Indian History Congress,7,1981,research-article
Recognizing Non-reading Adolescents,Counterpoints,24,2011,research-article
Gender Relations among Oraons in Bangladesh: Continuity and Change,Economic and Political Weekly,5,1987,research-article
The Rise of Gated Communities in Israel: Reflections on Changing Urban Governance in a Neo-liberal Era,Urban Studies,21,2009,research-article
Review Article,Turkish Studies Association Bulletin,3,1984,book-review
"Marriage, Cohabitation and LAT Relationships",Journal of Comparative Family Studies,10,2016,research-article
Sociology of Bride-Price and Dowry,Economic and Political Weekly,5,1984,research-article
Complex Patterns: On the Characteristics of Children Who Experience High and Low Degrees of Foster-Care Drift,The British Journal of Social Work,18,2014,research-article
REPORT ON COOPERATIVE NURSERY SCHOOLS,Bulletin of the National Association for Nursery Education,3,1956,research-article
CONSOLIDATION OF RURAL SCHOOLS,The Journal of Education,2,1908,research-article
EDITORIALS,The Journal of Education,3,1929,research-article
Early Childhood Education and Teacher Education: A Search for Consistency,Young Children,6,1975,research-article
THE NEW MEXICAN EXPERIMENT IN VILLAGE REHABILITATION,Applied Anthropology,25,1943,research-article
On Heritage and Identity: New Zealand and its Historic Places,History News,6,2003,research-article
INDIRECT DEMOCRACY AND SOCIAL PROCESS IN PERICLEAN ATHENS,Social Science Quarterly,15,1971,research-article
EDUCATIONAL INTELLIGENCE,The Journal of Education,6,1911,research-article
PREFACE,Counterpoints,5,2001,misc
"Editorial: 'A World on the Move': Migration, Mobilities and Social Work",The British Journal of Social Work,17,2014,research-article
Teachers and Parents Define Diversity in an Oregon Preschool Cooperative—Democracy at Work,Young Children,9,1997,research-article
The Unseen Weight of Class,College Composition and Communication,9,2014,book-review
SOME NOTES ON CHILDHOOD IN A SOUTH AFRICAN PERIPATETIC COMMUNITY,Nomadic Peoples,9,2001,research-article
Nubian resettlement in the Sudan,Ekistics,8,1973,research-article
